release,previous_release,release_date,previous_release_date,release_kind,area_category,change_type,weighted_churn_points,raw_insertions,raw_deletions,raw_churn,files_changed,commits,top_paths
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,TUI / CLI UX,Refactor / Cleanup,9.0,0.0,9.0,9.0,2,11,codex-rs/cli/src/main.rs (8); codex-rs/cli/Cargo.toml (1)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,Packaging / Release / Install,Build / Release,16.935,10.839,6.097,16.935,3,11,.github/workflows/rust-release.yml (16); codex-cli/src/utils/session.ts (7); codex-cli/package.json (2)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,Packaging / Release / Install,Refactor / Cleanup,6.452,4.129,2.323,6.452,3,11,.github/workflows/rust-release.yml (16); codex-cli/src/utils/session.ts (7); codex-cli/package.json (2)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,Packaging / Release / Install,Bug Fix,1.613,1.032,0.581,1.613,3,11,.github/workflows/rust-release.yml (16); codex-cli/src/utils/session.ts (7); codex-cli/package.json (2)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,CI / Build / Dependencies,Build / Release,12.358,2.026,14.182,16.208,5,11,codex-rs/repl/Cargo.toml (28); codex-rs/Cargo.lock (19); .github/dotslash-config.json (10); codex-rs/justfile (4); codex-rs/Cargo.toml (3)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,CI / Build / Dependencies,Refactor / Cleanup,28.519,4.675,32.727,37.403,5,11,codex-rs/repl/Cargo.toml (28); codex-rs/Cargo.lock (19); .github/dotslash-config.json (10); codex-rs/justfile (4); codex-rs/Cargo.toml (3)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,CI / Build / Dependencies,Bug Fix,7.922,1.299,9.091,10.39,5,11,codex-rs/repl/Cargo.toml (28); codex-rs/Cargo.lock (19); .github/dotslash-config.json (10); codex-rs/justfile (4); codex-rs/Cargo.toml (3)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,Docs / Examples,Build / Release,2.0,0.667,1.333,2.0,2,11,README.md (2); codex-rs/README.md (1)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,Docs / Examples,Refactor / Cleanup,1.0,0.333,0.667,1.0,2,11,README.md (2); codex-rs/README.md (1)
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable,Other,Refactor / Cleanup,524.0,0.0,524.0,524.0,3,11,codex-rs/repl/src/lib.rs (448); codex-rs/repl/src/cli.rs (65); codex-rs/repl/src/main.rs (11)
