release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.0.2504301132,stable-rollup,2025-04-30T11:59:09-07:00,0.8593,524.0,609.8,codex-rs/repl/src/lib.rs (448); codex-rs/repl/src/cli.rs (65); codex-rs/repl/src/main.rs (11)
rust-v0.0.2504301219,stable-rollup,2025-04-30T12:19:52-07:00,0.6701,26.0,38.8,codex-rs/scripts/create_github_release.sh (26)
rust-v0.0.2505291458,stable-rollup,2025-05-29T14:58:23-07:00,0.1177,176.0,1495.4,codex-rs/common/src/config_override.rs (170); codex-rs/common/src/lib.rs (6)
rust-v0.0.2505291659,stable-rollup,2025-05-29T16:59:14-07:00,0.1111,4.0,36.0,codex-rs/common/src/config_override.rs (4)
rust-v0.0.2505301630,stable-rollup,2025-05-30T16:30:45-07:00,0.127,377.0,2968.0,codex-rs/config.md (377)
rust-v0.0.2505302325,stable-rollup,2025-05-30T23:25:09-07:00,0.1471,10.0,68.0,codex-rs/config.md (10)
rust-v0.0.2506261603,stable-rollup,2025-06-26T16:03:47-07:00,0.2071,464.0,2241.0,codex-rs/file-search/src/lib.rs (284); codex-rs/config.md (61); codex-rs/file-search/src/main.rs (50); codex-rs/file-search/src/cli.rs (38); .devcontainer/Dockerfile (16); .devcontainer/devcontainer.json (8); codex-rs/common/src/lib.rs (7)
rust-v0.2.0,stable-rollup,2025-06-30T12:12:54-07:00,0.2087,278.0,1331.8,codex-rs/file-search/src/lib.rs (146); codex-rs/config.md (78); codex-rs/file-search/src/main.rs (36); codex-rs/scripts/create_github_release.sh (14); codex-rs/file-search/src/cli.rs (4)
rust-v0.6.0,stable-rollup,2025-07-12T16:22:59-07:00,0.2043,202.0,988.6,codex-rs/chatgpt/src/apply_command.rs (89); codex-rs/chatgpt/src/chatgpt_client.rs (45); codex-rs/chatgpt/src/get_task.rs (40); codex-rs/chatgpt/src/chatgpt_token.rs (24); codex-rs/chatgpt/src/lib.rs (4)
rust-v0.13.0,stable-rollup,2025-08-05T13:56:20-07:00,0.1917,680.0,3547.9,codex-rs/ollama/src/client.rs (351); codex-rs/ollama/src/pull.rs (147); codex-rs/ollama/src/parser.rs (82); codex-rs/ollama/src/lib.rs (44); codex-rs/ollama/src/url.rs (39); codex-rs/config.md (13); .vscode/settings.json (4)
rust-v0.14.0,stable-rollup,2025-08-06T09:17:54-07:00,0.0731,109.0,1492.1,INIT.md (40); codex-rs/common/src/config_summary.rs (29); codex-rs/scripts/create_github_release.sh (28); codex-rs/config.md (8); codex-rs/common/src/lib.rs (4)
rust-v0.23.0,stable-rollup,2025-08-19T22:36:20-07:00,0.0605,451.0,7452.46,codex-rs/protocol-ts/src/lib.rs (107); codex-rs/{core => protocol}/src/protocol.rs (101); codex-rs/common/src/model_presets.rs (54); .vscode/launch.json (36); package-lock.json (33); codex-rs/config.md (27); codex-rs/protocol-ts/src/main.rs (20); codex-rs/file-search/src/lib.rs (20)
rust-v0.26.0,stable-rollup,2025-08-28T20:22:19-07:00,0.1496,784.0,5239.1,codex-rs/config.md (566); CHANGELOG.md (212); scripts/readme_toc.py (6)
rust-v0.31.0,stable-rollup,2025-09-08T14:20:14-07:00,0.2516,361.0,1434.7,codex-rs/scripts/create_github_release (296); codex-rs/scripts/create_github_release.sh (64); codex-rs/protocol-ts/src/lib.rs (1)
rust-v0.37.0,stable-rollup,2025-09-17T10:48:22-07:00,0.078,118.0,1512.04,scripts/publish_to_npm.py (118)
rust-v0.41.0,stable-rollup,2025-09-24T09:56:32-07:00,0.0901,249.0,2763.8,codex-rs/utils/readiness/src/lib.rs (249)
rust-v0.43.0,stable-rollup,2025-10-01T10:46:11-07:00,0.0881,2157.0,24491.12,codex-rs/git-apply/src/lib.rs (698); codex-rs/backend-client/src/types.rs (369); codex-rs/backend-client/src/client.rs (244); scripts/stage_npm_packages.py (187); codex-rs/responses-api-proxy/npm/bin/codex-responses-api-proxy.js (97); codex-rs/codex-backend-openapi-models/src/models/git_pull_request.rs (77); codex-rs/codex-backend-openapi-models/src/models/task_list_item.rs (63); codex-rs/codex-backend-openapi-models/src/models/task_response.rs (62)
rust-v0.51.0,stable-rollup,2025-10-30T09:05:38-07:00,0.0512,832.0,16258.3,codex-rs/utils/image/src/lib.rs (252); codex-rs/keyring-store/src/lib.rs (226); codex-rs/utils/cache/src/lib.rs (159); codex-rs/utils/git/src/lib.rs (80); codex-rs/utils/readiness/src/lib.rs (52); codex-rs/utils/image/src/error.rs (25); codex-rs/{git-apply/src/lib.rs => utils/git/src/apply.rs} (17); codex-rs/chatgpt/src/chatgpt_token.rs (8)
rust-v0.58.0,stable-rollup,2025-11-13T09:39:02-08:00,0.077,502.0,6518.62,codex-rs/common/src/model_presets.rs (244); codex-rs/protocol-ts/src/lib.rs (135); codex-rs/arg0/src/lib.rs (75); codex-rs/protocol-ts/src/main.rs (20); codex-rs/common/src/config_override.rs (15); codex-rs/protocol-ts/generate-ts (10); codex-rs/utils/pty/src/lib.rs (3)
rust-v0.59.0,stable-rollup,2025-11-19T09:48:27-08:00,0.0514,1237.0,24045.26,codex-rs/lmstudio/src/client.rs (397); codex-rs/utils/git/src/ghost_commits.rs (210); codex-rs/utils/git/src/branch.rs (144); codex-rs/common/src/model_presets.rs (92); codex-rs/utils/cache/src/lib.rs (88); codex-rs/common/src/oss.rs (60); codex-rs/utils/tokenizer/src/lib.rs (55); codex-rs/codex-backend-openapi-models/src/models/credit_status_details.rs (52)
rust-v0.60.1,stable-rollup,2025-11-19T11:22:45-08:00,0.0574,38.0,661.72,codex-rs/backend-client/src/client.rs (37); codex-rs/backend-client/src/types.rs (1)
rust-v0.65.0,stable-rollup,2025-12-04T09:55:41-08:00,0.0704,542.0,7702.92,codex-rs/utils/git/src/ghost_commits.rs (325); codex-rs/{common/src => core/src/openai_models}/model_presets.rs (203); codex-rs/codex-client/src/transport.rs (12); codex-rs/common/src/lib.rs (2)
rust-v0.67.0,stable-rollup,2025-12-10T11:10:19-08:00,0.1916,907.0,4734.7,codex-rs/utils/pty/src/win/psuedocon.rs (322); codex-rs/utils/pty/src/win/mod.rs (169); codex-rs/utils/absolute-path/src/lib.rs (152); codex-rs/utils/pty/src/win/conpty.rs (144); codex-rs/utils/pty/src/win/procthreadattr.rs (91); codex-rs/utils/pty/src/lib.rs (26); codex-rs/default.nix (2); .codespellignore (1)
rust-v0.68.0,stable-rollup,2025-12-10T12:33:29-08:00,0.1143,334.0,2922.12,codex-rs/codex-client/src/default_client.rs (143); codex-rs/utils/git/src/branch.rs (132); codex-rs/scripts/create_github_release (32); codex-rs/codex-client/src/transport.rs (10); codex-rs/ollama/src/lib.rs (5); codex-rs/lmstudio/src/lib.rs (5); codex-rs/common/src/config_summary.rs (4); codex-rs/codex-client/src/lib.rs (3)
rust-v0.72.0,stable-rollup,2025-12-12T16:54:04-08:00,0.0536,417.0,7774.04,codex-rs/scripts/create_github_release (411); codex-rs/utils/pty/src/lib.rs (5); codex-rs/default.nix (1)
rust-v0.73.0,stable-rollup,2025-12-15T14:08:17-08:00,0.149,870.0,5837.86,codex-rs/utils/git/src/ghost_commits.rs (697); codex-rs/codex-client/src/default_client.rs (84); codex-rs/utils/absolute-path/src/lib.rs (82); codex-rs/utils/git/src/lib.rs (4); codex-rs/docs/protocol_v1.md (2); AGENTS.md (1)
rust-v0.80.0,stable-rollup,2026-01-09T11:17:48-08:00,0.0976,1672.0,17138.42,codex-rs/debug-client/src/client.rs (398); codex-rs/debug-client/src/reader.rs (332); codex-rs/debug-client/src/main.rs (293); codex-rs/utils/git/src/apply.rs (168); codex-rs/debug-client/src/commands.rs (156); codex-rs/debug-client/src/output.rs (121); codex-rs/codex-client/src/transport.rs (73); codex-rs/utils/cargo-bin/src/lib.rs (53)
rust-v0.82.0,stable-rollup,2026-01-14T15:42:33-08:00,0.2946,1234.0,4189.32,codex-rs/utils/pty/src/lib.rs (288); codex-rs/utils/pty/src/tests.rs (242); codex-rs/utils/pty/src/pipe.rs (232); codex-rs/utils/pty/src/pty.rs (174); codex-rs/utils/pty/src/process.rs (147); codex-rs/utils/pty/src/process_group.rs (135); codex-rs/codex-client/src/default_client.rs (16)
rust-v0.90.0,stable-rollup,2026-01-25T16:56:25+01:00,0.2682,3148.0,11739.32,codex-rs/network-proxy/src/runtime.rs (984); codex-rs/network-proxy/src/http_proxy.rs (636); codex-rs/network-proxy/src/config.rs (433); codex-rs/network-proxy/src/state.rs (419); codex-rs/network-proxy/src/upstream.rs (188); codex-rs/network-proxy/src/proxy.rs (176); codex-rs/network-proxy/src/admin.rs (160); codex-rs/network-proxy/src/responses.rs (67)
rust-v0.93.0,stable-rollup,2026-01-30T23:17:25-07:00,0.0737,2124.0,28836.54,codex-rs/file-search/src/lib.rs (977); codex-rs/network-proxy/src/socks5.rs (320); codex-rs/utils/cargo-bin/src/lib.rs (221); codex-rs/utils/home-dir/src/lib.rs (128); codex-rs/network-proxy/src/http_proxy.rs (110); PNPM.md (70); codex-rs/network-proxy/src/proxy.rs (56); codex-rs/chatgpt/src/chatgpt_client.rs (51)
rust-v0.99.0,stable-rollup,2026-02-11T11:54:42-08:00,0.0627,2443.0,38978.16,codex-rs/network-proxy/src/proxy.rs (609); codex-rs/network-proxy/src/state.rs (396); codex-rs/network-proxy/src/runtime.rs (300); codex-rs/{core => shell-command}/src/bash.rs (206); codex-rs/network-proxy/src/config.rs (156); codex-rs/network-proxy/src/http_proxy.rs (155); codex-rs/network-proxy/src/socks5.rs (117); codex-rs/network-proxy/src/responses.rs (103)
rust-v0.104.0,stable-rollup,2026-02-17T22:34:45-08:00,0.0625,75.0,1200.1,codex-rs/network-proxy/src/http_proxy.rs (45); codex-rs/network-proxy/src/proxy.rs (30)
rust-v0.105.0,stable-rollup,2026-02-25T16:36:37Z,0.0709,4614.0,65056.7,codex-rs/network-proxy/src/mitm.rs (482); codex-rs/network-proxy/src/certs.rs (344); codex-rs/utils/stream-parser/src/utf8_stream.rs (333); codex-rs/utils/stream-parser/src/inline_hidden_tag.rs (323); codex-rs/network-proxy/src/runtime.rs (266); codex-rs/utils/sleep-inhibitor/src/linux_inhibitor.rs (240); codex-rs/{exec-server/src/posix => shell-escalation/src/unix}/escalate_server.rs (217); codex-rs/utils/stream-parser/src/proposed_plan.rs (212)
