release,previous_release,release_date,previous_release_date,release_kind,commit,previous_commit,commits,files_changed,raw_insertions,raw_deletions,raw_churn,weighted_churn_points,generated_raw_churn,generated_weighted_churn_points,dominant_change_type,top_paths
rust-v0.0.2504301132,rust-v0.0.2504291921,2025-04-30T11:59:09-07:00,2025-04-29T19:23:46-07:00,stable-rollup,0a0b75a6982e25379309a84e116efcf460407082,245d54514d7b9915357cbe95cfe382eb92a43249,11,15,25,600,625,609.8,19,3.8,Build / Release,codex-rs/repl/src/lib.rs (448); codex-rs/repl/src/cli.rs (65); codex-rs/repl/Cargo.toml (28); codex-rs/Cargo.lock (19); .github/workflows/rust-release.yml (16)
rust-v0.0.2504301219,rust-v0.0.2504301132,2025-04-30T12:19:52-07:00,2025-04-30T11:59:09-07:00,stable-rollup,5d838570cc6ecfff1c600dbf05b3c522324b7f28,0a0b75a6982e25379309a84e116efcf460407082,3,5,29,13,42,38.8,4,0.8,Build / Release,codex-rs/scripts/create_github_release.sh (26); .github/dotslash-config.json (9); codex-rs/Cargo.lock (4); codex-rs/Cargo.toml (2); .github/workflows/rust-release.yml (1)
rust-v0.0.2504301327,rust-v0.0.2504301219,2025-04-30T13:27:36-07:00,2025-04-30T12:19:52-07:00,stable-rollup,c24da7f5a1586a8d90efdbb1584a72a546399551,5d838570cc6ecfff1c600dbf05b3c522324b7f28,3,2,4,6,10,10.0,0,0.0,Build / Release,.github/workflows/rust-release.yml (8); codex-rs/Cargo.toml (2)
rust-v0.0.2505021951,rust-v0.0.2504301327,2025-05-02T19:51:24-07:00,2025-04-30T13:27:36-07:00,stable-rollup,16e4d7ba1657c02caf8b5b98bf9058ecdb652342,c24da7f5a1586a8d90efdbb1584a72a546399551,14,49,6344,168,6512,5046.6,165,33.0,Build / Release,codex-rs/mcp-types/schema/2025-03-26/schema.json (2139); codex-rs/mcp-types/src/lib.rs (1400); codex-rs/mcp-types/generate_mcp_types.py (660); codex-rs/mcp-server/src/message_processor.rs (425); codex-cli/tests/file-tag-utils.test.ts (240)
rust-v0.0.2505061740,rust-v0.0.2505021951,2025-05-06T17:40:33-07:00,2025-05-02T19:51:24-07:00,stable-rollup,7e7e0c884995544cc0702c6e1b4e15097e0579af,16e4d7ba1657c02caf8b5b98bf9058ecdb652342,19,63,2647,453,3100,3004.0,75,15.0,Build / Release,codex-rs/mcp-client/src/mcp_client.rs (382); codex-rs/core/src/codex.rs (334); codex-rs/mcp-server/src/codex_tool_config.rs (244); codex-rs/mcp-server/src/codex_tool_runner.rs (181); codex-rs/README.md (175)
rust-v0.0.2505101753,rust-v0.0.2505061740,2025-05-10T17:53:53-07:00,2025-05-06T17:40:33-07:00,stable-rollup,a1c7d42527dc126ca0aadfc7e3e515674567b728,7e7e0c884995544cc0702c6e1b4e15097e0579af,28,104,2783,904,3687,3351.1,310,62.0,Build / Release,codex-rs/core/src/codex.rs (332); codex-rs/core/src/chat_completions.rs (310); codex-rs/Cargo.lock (310); codex-rs/core/src/project_doc.rs (275); codex-rs/core/src/exec.rs (195)
rust-v0.0.2505121520,rust-v0.0.2505101753,2025-05-12T15:20:16-07:00,2025-05-10T17:53:53-07:00,stable-rollup,10ca7013d179bd1772451c6814686e26f7fb0e6b,a1c7d42527dc126ca0aadfc7e3e515674567b728,8,44,607,138,745,740.2,0,0.0,Build / Release,codex-cli/scripts/stage_release.sh (159); codex-rs/tui/src/bottom_pane.rs (94); codex-cli/bin/codex.js (83); codex-cli/scripts/install_native_deps.sh (64); codex-rs/mcp-client/src/mcp_client.rs (53)
rust-v0.0.2505121726,rust-v0.0.2505121520,2025-05-12T17:26:41-07:00,2025-05-12T15:20:16-07:00,stable-rollup,a205bac029d3cac2442e8d75077f55758d457995,10ca7013d179bd1772451c6814686e26f7fb0e6b,2,5,35,18,53,53.0,0,0.0,Build / Release,codex-rs/core/src/client_common.rs (23); codex-rs/core/src/config.rs (20); codex-rs/core/src/chat_completions.rs (5); codex-rs/core/src/client.rs (3); codex-rs/Cargo.toml (2)
rust-v0.0.2505141337,rust-v0.0.2505121726,2025-05-14T13:37:16-07:00,2025-05-12T17:26:41-07:00,stable-rollup,7841c0407eb9d82144a553cdd8e812ec5b14ef29,a205bac029d3cac2442e8d75077f55758d457995,23,87,2557,852,3409,3268.6,72,14.4,Docs / Tests,codex-rs/tui/src/bottom_pane.rs (325); codex-rs/tui/src/bottom_pane/chat_composer.rs (270); codex-rs/core/src/protocol.rs (251); codex-rs/core/src/config.rs (227); codex-rs/tui/src/bottom_pane/command_popup.rs (191)
rust-v0.0.2505141652,rust-v0.0.2505141337,2025-05-14T16:52:23-07:00,2025-05-14T13:37:16-07:00,stable-rollup,092f0ba05d056a168d06f1b576142a205ffdc269,7841c0407eb9d82144a553cdd8e812ec5b14ef29,2,2,145,92,237,237.0,0,0.0,Build / Release,codex-rs/tui/src/conversation_history_widget.rs (235); codex-rs/Cargo.toml (2)
